PERMNO,date,TICKER,PRC,VOL
84788,20081107,AMZN,49.21000,7439942
84788,20081110,AMZN,48.46000,8989788
84788,20081111,AMZN,46.30000,9940591
84788,20081112,AMZN,41.56000,14773108
84788,20081113,AMZN,44.93000,17055205
84788,20081114,AMZN,41.75000,11949631
84788,20081117,AMZN,39.69000,10713611
84788,20081118,AMZN,38.44000,15057301
84788,20081119,AMZN,35.84000,12524243
84788,20081120,AMZN,35.03000,18446534
84788,20081121,AMZN,37.87000,15045084
84788,20081124,AMZN,42.50000,14552847
84788,20081125,AMZN,42.19000,13015730
84788,20081126,AMZN,43.96000,13445206
84788,20081128,AMZN,42.70000,3687472
84788,20081201,AMZN,40.47000,11180495
84788,20081202,AMZN,41.19000,8726257
84788,20081203,AMZN,45.21000,15679145
84788,20081204,AMZN,47.32000,19790396
84788,20081205,AMZN,48.26000,14610584
84788,20081208,AMZN,51.41000,11214015
84788,20081209,AMZN,51.25000,13328434
84788,20081210,AMZN,49.70000,7755032
84788,20081211,AMZN,48.25000,7579279
84788,20081212,AMZN,51.25000,8674242
84788,20081215,AMZN,48.85000,7286552
84788,20081216,AMZN,52.63000,8414590
84788,20081217,AMZN,53.18000,9013176
84788,20081218,AMZN,52.08000,7518601
84788,20081219,AMZN,51.56000,11542205
84788,20081222,AMZN,49.84000,9160702
84788,20081223,AMZN,51.08000,6019174
84788,20081224,AMZN,51.44000,1701279
84788,20081226,AMZN,51.78000,7023540
84788,20081229,AMZN,49.40000,6700364
84788,20081230,AMZN,50.76000,6746011
84788,20081231,AMZN,51.28000,7953001
